"","Subfamily","Genus"
"Acanthognathus","Myrmicinae","Acanthognathus"
"Acanthomyrmex","Myrmicinae","Acanthomyrmex"
"Acanthoponera","Heteroponerinae","Acanthoponera"
"Acanthostichus","Dorylinae","Acanthostichus"
"Acromyrmex","Myrmicinae","Acromyrmex"
"Acropyga","Formicinae","Acropyga"
"Adelomyrmex","Myrmicinae","Adelomyrmex"
"Adetomyrma","Amblyoponinae","Adetomyrma"
"Adlerzia","Myrmicinae","Adlerzia"
"Aenictogiton","Dorylinae","Aenictogiton"
"Aenictus","Dorylinae","Aenictus"
"Agraulomyrmex","Formicinae","Agraulomyrmex"
"Alloformica","Formicinae","Alloformica"
"Allomerus","Myrmicinae","Allomerus"
"Amblyopone","Amblyoponinae","Amblyopone"
"Ancyridris","Myrmicinae","Ancyridris"
"Aneuretus","Aneuretinae","Aneuretus"
"Anillidris","Dolichoderinae","Anillidris"
"Anillomyrma","Myrmicinae","Anillomyrma"
"Ankylomyrma","Agroecomyrmecinae","Ankylomyrma"
"Anochetus","Ponerinae","Anochetus"
"Anomalomyrma","Leptanillinae","Anomalomyrma"
"Anonychomyrma","Dolichoderinae","Anonychomyrma"
"Anoplolepis","Formicinae","Anoplolepis"
"Aphaenogaster","Myrmicinae","Aphaenogaster"
"Aphomomyrmex","Formicinae","Aphomomyrmex"
"Apomyrma","Apomyrminae","Apomyrma"
"Apterostigma","Myrmicinae","Apterostigma"
"Aptinoma","Dolichoderinae","Aptinoma"
"Aretidris","Myrmicinae","Aretidris"
"Arnoldius","Dolichoderinae","Arnoldius"
"Asphinctopone","Ponerinae","Asphinctopone"
"Atopomyrmex","Myrmicinae","Atopomyrmex"
"Atta","Myrmicinae","Atta"
"Aulacopone","Heteroponerinae","Aulacopone"
"Austromorium","Myrmicinae","Austromorium"
"Austroponera","Ponerinae","Austroponera"
"Axinidris","Dolichoderinae","Axinidris"
"Azteca","Dolichoderinae","Azteca"
"Bajcaridris","Formicinae","Bajcaridris"
"Baracidris","Myrmicinae","Baracidris"
"Bariamyrma","Myrmicinae","Bariamyrma"
"Basiceros","Myrmicinae","Basiceros"
"Belonopelta","Ponerinae","Belonopelta"
"Blepharidatta","Myrmicinae","Blepharidatta"
"Boloponera","Ponerinae","Boloponera"
"Bondroitia","Myrmicinae","Bondroitia"
"Bothriomyrmex","Dolichoderinae","Bothriomyrmex"
"Bothroponera","Ponerinae","Bothroponera"
"Brachymyrmex","Formicinae","Brachymyrmex"
"Brachyponera","Ponerinae","Brachyponera"
"Bregmatomyrma","Formicinae","Bregmatomyrma"
"Buniapone","Ponerinae","Buniapone"
"Calomyrmex","Formicinae","Calomyrmex"
"Calyptomyrmex","Myrmicinae","Calyptomyrmex"
"Camponotus","Formicinae","Camponotus"
"Cardiocondyla","Myrmicinae","Cardiocondyla"
"Carebara","Myrmicinae","Carebara"
"Cataglyphis","Formicinae","Cataglyphis"
"Cataulacus","Myrmicinae","Cataulacus"
"Centromyrmex","Ponerinae","Centromyrmex"
"Cephalotes","Myrmicinae","Cephalotes"
"Cerapachys","Dorylinae","Cerapachys"
"Cheliomyrmex","Dorylinae","Cheliomyrmex"
"Chimaeridris","Myrmicinae","Chimaeridris"
"Chronoxenus","Dolichoderinae","Chronoxenus"
"Chrysapace","Dorylinae","Chrysapace"
"Cladomyrma","Formicinae","Cladomyrma"
"Colobopsis","Formicinae","Colobopsis"
"Colobostruma","Myrmicinae","Colobostruma"
"Condylodon","uncertain","Condylodon"
"Crematogaster","Myrmicinae","Crematogaster"
"Cryptomyrmex","Myrmicinae","Cryptomyrmex"
"Cryptopone","Ponerinae","Cryptopone"
"Cyatta","Myrmicinae","Cyatta"
"Cylindromyrmex","Dorylinae","Cylindromyrmex"
"Cyphoidris","Myrmicinae","Cyphoidris"
"Cyphomyrmex","Myrmicinae","Cyphomyrmex"
"Dacatria","Myrmicinae","Dacatria"
"Dacetinops","Myrmicinae","Dacetinops"
"Daceton","Myrmicinae","Daceton"
"Diacamma","Ponerinae","Diacamma"
"Diaphoromyrma","Myrmicinae","Diaphoromyrma"
"Dicroaspis","Myrmicinae","Dicroaspis"
"Dilobocondyla","Myrmicinae","Dilobocondyla"
"Dinomyrmex","Formicinae","Dinomyrmex"
"Dinoponera","Ponerinae","Dinoponera"
"Diplomorium","Myrmicinae","Diplomorium"
"Discothyrea","Proceratiinae","Discothyrea"
"Doleromyrma","Dolichoderinae","Doleromyrma"
"Dolichoderus","Dolichoderinae","Dolichoderus"
"Dolioponera","Ponerinae","Dolioponera"
"Dolopomyrmex","Myrmicinae","Dolopomyrmex"
"Dorylus","Dorylinae","Dorylus"
"Dorymyrmex","Dolichoderinae","Dorymyrmex"
"Eburopone","Dorylinae","Eburopone"
"Echinopla","Formicinae","Echinopla"
"Eciton","Dorylinae","Eciton"
"Ecphorella","Dolichoderinae","Ecphorella"
"Ectatomma","Ectatomminae","Ectatomma"
"Ectomomyrmex","Ponerinae","Ectomomyrmex"
"Emeryopone","Ponerinae","Emeryopone"
"Epelysidris","Myrmicinae","Epelysidris"
"Epopostruma","Myrmicinae","Epopostruma"
"Erromyrma","Myrmicinae","Erromyrma"
"Euponera","Ponerinae","Euponera"
"Euprenolepis","Formicinae","Euprenolepis"
"Eurhopalothrix","Myrmicinae","Eurhopalothrix"
"Eusphinctus","Dorylinae","Eusphinctus"
"Eutetramorium","Myrmicinae","Eutetramorium"
"Feroponera","Ponerinae","Feroponera"
"Fisheropone","Ponerinae","Fisheropone"
"Forelius","Dolichoderinae","Forelius"
"Formica","Formicinae","Formica"
"Formicoxenus","Myrmicinae","Formicoxenus"
"Formosimyrma","Myrmicinae","Formosimyrma"
"Froggattella","Dolichoderinae","Froggattella"
"Fulakora","Amblyoponinae","Fulakora"
"Gaoligongidris","Myrmicinae","Gaoligongidris"
"Gauromyrmex","Myrmicinae","Gauromyrmex"
